drug_name,num_prescriber,total_cost
DICLOFENAC SODIUM ER,1,2974.67
GLYBURIDE-METFORMIN HCL,1,3911.7000000000003
TEKTURNA HCT,1,2521.13
SAPHRIS,1,12837.84
SUBOXONE,1,16881.120000000003
GAVILYTE-N,1,4838.54
CEFPROZIL,1,548.01
TIVICAY,1,105658.24
AMLODIPINE-ATORVASTATIN,1,1722.6
CORGARD,1,3215.91
OXAPROZIN,1,1121.7
PROLIA,1,112840.47
PEG 3350-ELECTROLYTE,1,4345.19
DISOPYRAMIDE PHOSPHATE,1,264.82
TRETINOIN,1,2419.99
IMIQUIMOD,1,2983.01
TAMOXIFEN CITRATE,1,6390.59
AZURETTE,1,225.16
RIVASTIGMINE,1,42248.51
EDARBI,1,3332.0299999999997
GLYCOPYRROLATE,1,1530.79
PANCREAZE,1,2586.57
SELENIUM SULFIDE,1,247.62
TIAGABINE HCL,1,17787.07
DICLOFENAC POTASSIUM,1,661.37
FLURBIPROFEN,1,146.86
EXFORGE,1,14307.64
TRAVASOL,1,1267.39
DURAGESIC,1,6676.23
ENALAPRIL-HYDROCHLOROTHIAZIDE,1,1369.29
ALCOHOL PADS,1,4232.45
NOVOFINE,1,2150.04
LEFLUNOMIDE,1,26967.08
XELJANZ,1,252478.41
HYDROXYUREA,1,9029.73
EASY TOUCH PEN NEEDLE,1,865.79
AMIKACIN SULFATE,1,1426.3
ARANESP,1,29465.17
BANZEL,1,2718.0
BROMOCRIPTINE MESYLATE,1,8556.27
CEFTAZIDIME,1,642.27
CIPROFLOXACIN-D5W,1,969.03
DANTROLENE SODIUM,1,2280.84
DEXTROSE 5%-0.45% NACL,1,488.24
GLUCAGEN,1,10720.16
GLUCAGON EMERGENCY KIT,1,6891.4400000000005
HALOPERIDOL LACTATE,1,817.6600000000001
INTELENCE,1,35488.100000000006
INVANZ,1,38534.979999999996
LAMIVUDINE,1,13583.010000000002
LETAIRIS,1,32792.19
LEVOFLOXACIN-D5W,1,2501.96
LIVALO,1,6871.67
METHAZOLAMIDE,1,8769.41
PIPERACILLIN-TAZOBACTAM,1,3698.73
POLYMYXIN B SUL-TRIMETHOPRIM,1,325.65999999999997
PROTOPIC,1,10915.08
RILUZOLE,1,4622.99
SEREVENT DISKUS,1,10713.29
SODIUM BICARBONATE,1,1818.94
SODIUM CHLORIDE,1,3034.14
TRANSDERM-SCOP,1,15929.72
ZOSYN,1,10923.57
GLEEVEC,1,531235.53
IMBRUVICA,1,662127.55
JAKAFI,1,280871.71
LETROZOLE,1,1321.47
REVLIMID,1,1054447.93
EDURANT,1,10020.12
LAMIVUDINE-ZIDOVUDINE,1,13824.14
SUSTIVA,1,47956.020000000004
TESTOSTERONE CYPIONATE,1,3180.7400000000002
CANASA,1,12200.07
ZEGERID,1,16412.27
DEXTROAMPHETAMINE SULFATE,1,1356.83
GAVILYTE-C,1,716.03
K-TAB ER,1,4132.25
SURE COMFORT ALCOHOL,1,232.5
GLUCOPHAGE XR,1,1227.27
EXALGO,1,38544.68
FLECTOR,1,14278.560000000001
REMICADE,1,150492.59
HORIZANT,1,3127.74
GENERLAC,1,619.93
PROTONIX,1,9950.42
ADACEL TDAP,1,1640.0
TRIBENZOR,1,44089.8
ACAMPROSATE CALCIUM,1,1118.09
DEXTROAMPHETAMINE SULFATE ER,1,3108.0
HALOPERIDOL DECANOATE,1,7053.55
TRILEPTAL,1,11264.22
ZYPREXA RELPREVV,1,22049.25
CEFPODOXIME PROXETIL,1,1969.57
SINGULAIR,1,3913.64
EXEMESTANE,1,4274.73
EXJADE,1,113066.13
ZYTIGA,1,431579.16
GLUMETZA,1,43737.04
DICLOFENAC SODIUM-MISOPROSTOL,1,997.46
NAPROXEN SODIUM,1,504.66
DEPAKOTE,1,2189.56
GLYBURIDE MICRONIZED,1,96.0
MACRODANTIN,1,3698.49
PREMPRO,1,6353.52
ZIDOVUDINE,1,901.96
MESALAMINE,1,4272.08
OMEPRAZOLE-SODIUM BICARBONATE,1,6777.54
PRAVACHOL,1,2083.2
QUINAPRIL-HYDROCHLOROTHIAZIDE,1,936.1700000000001
MYCOPHENOLIC ACID,1,16735.84
VELPHORO,1,31568.26
CLOBETASOL EMOLLIENT,1,1269.09
EDARBYCLOR,1,1616.62
HUMALOG MIX 50-50,1,18912.3
KEPPRA,1,19574.120000000003
MOXIFLOXACIN HCL,1,1534.56
REBIF,1,77823.59
SELEGILINE HCL,1,806.57
HALOBETASOL PROPIONATE,1,7824.71
ROPINIROLE ER,1,4174.47
BACITRACIN,1,1325.21
BETIMOL,1,1901.32
MOXEZA,1,1449.11
LAMOTRIGINE ER,1,46839.61
AZILECT,1,6386.64
EPIPEN 2-PAK,1,7220.55
MONOJECT INSULIN SYRINGE,1,40.44
OXYCODONE HCL-ASPIRIN,1,930.71
PROBENECID,1,1390.11
PROBENECID-COLCHICINE,1,880.9
NICOTROL,1,4431.32
SF 5000 PLUS,1,364.44
ASPIRIN-DIPYRIDAMOLE ER,1,4763.76
BYDUREON,1,6494.07
FOSINOPRIL-HYDROCHLOROTHIAZIDE,1,375.16
MOEXIPRIL-HYDROCHLOROTHIAZIDE,1,506.38
TAZTIA XT,1,788.8000000000001
TIAZAC,1,1070.54
CEFAZOLIN SODIUM,1,807.0
ABILIFY MAINTENA,1,43824.3
NALTREXONE HCL,1,917.04
METOPROLOL-HYDROCHLOROTHIAZIDE,1,1271.43
BESIVANCE,1,1520.71
EASY COMFORT PEN NEEDLES,1,651.58
KOMBIGLYZE XR,1,29769.32
PHENAZOPYRIDINE HCL,1,361.49
SURE COMFORT,1,2923.92
ADDERALL,1,9137.48
PROPAFENONE HCL ER,1,57333.94
LITHIUM,1,200.15
LOVENOX,1,5161.46
ZOSTAVAX,1,12467.24
ONFI,1,10347.6
OXTELLAR XR,1,18606.78
NITROGLYCERIN,1,8262.59
SODIUM POLYSTYRENE SULFONATE,1,185.25
BETAMETHASONE VALERATE,1,1546.1599999999999
ACTEMRA,1,87623.98
CIMZIA,1,75734.38
ENBREL,1,1164801.55
HUMIRA,1,244580.31
METHOTREXATE SODIUM,1,444.43
ORENCIA,1,129830.19
OTEZLA,1,24965.84
SULFASALAZINE DR,1,2738.91
ELMIRON,1,928.28
FLUOXETINE DR,1,3111.88
RELISTOR,1,31992.78
UNIFINE PENTIPS PLUS,1,329.49
CHLORZOXAZONE,1,905.22
VICODIN ES,1,1447.44
ACETYLCYSTEINE,1,1514.68
NIASPAN,1,951.03
ZEMPLAR,1,1041.54
ALIMTA,1,71461.25
ALOXI,1,79171.44
AVASTIN,1,105855.1
CARBOPLATIN,1,3610.16
DOCETAXEL,1,30099.93
EMEND,1,6290.13
FEMARA,1,7557.22
FUSILEV,1,36710.14
HERCEPTIN,1,106097.92
IRINOTECAN HCL,1,12690.28
NEULASTA,1,613464.49
OXALIPLATIN,1,7343.83
PACLITAXEL,1,1948.06
RITUXAN,1,136041.37
SANCUSO,1,27597.97
TARCEVA,1,348953.08
TASIGNA,1,115945.42
VECTIBIX,1,69070.72
XTANDI,1,106992.8
PERMETHRIN,1,4352.08
TRI-PREVIFEM,1,267.96
COSOPT PF,1,4875.22
SIMBRINZA,1,6834.23
TRAVOPROST,1,1903.65
ZIOPTAN,1,8279.61
DISULFIRAM,1,998.1
BOTOX,1,26766.87
CARBIDOPA-LEVODOPA-ENTACAPONE,1,19034.75
ULTRAM,1,6626.39
EASY COMFORT INSULIN SYRINGE,1,246.88
ORACIT,1,298.11
DESLORATADINE,1,316.81
ALPRAZOLAM ER,1,439.11
RISPERDAL,1,5055.24
TRILYTE WITH FLAVOR PACKETS,1,681.62
FLUOCINOLONE ACETONIDE OIL,1,6679.6
RIBAVIRIN,1,3963.51
SOVALDI,1,388256.0
VIEKIRA PAK,1,570492.49
NECON,1,255.96
CLIMARA,1,3340.6
ESTRING,1,5192.2
VAGIFEM,1,13208.02
CEFEPIME,1,1563.88
MEROPENEM,1,1375.25
METHYLDOPA,1,271.1
TESTOSTERONE,1,3738.61
ORACEA,1,12749.34
CAPTOPRIL-HYDROCHLOROTHIAZIDE,1,2133.69
HUMALOG MIX 50-50 KWIKPEN,1,33486.51
DIOVAN HCT,1,4596.77
QUINIDINE SULFATE,1,143.88
TRI-LEGEST FE,1,385.26
ACEBUTOLOL HCL,1,10394.04
CANDESARTAN-HYDROCHLOROTHIAZID,1,2314.74
MICARDIS HCT,1,1792.61
MOEXIPRIL HCL,1,753.41
NORVASC,1,1395.96
SOTALOL AF,1,267.63
VERAPAMIL ER PM,1,690.0
FLUTAMIDE,1,4548.0
REGRANEX,1,18135.57
ATROPINE SULFATE,1,662.59
WELLBUTRIN SR,1,3846.88
MYCAMINE,1,15861.96
VORICONAZOLE,1,9036.66
FLUVOXAMINE MALEATE ER,1,2845.41
PHOSPHA 250 NEUTRAL,1,560.08
POMALYST,1,165659.08
THALOMID,1,544723.33
GAMMAGARD LIQUID,1,20527.65
EPITOL,1,452.34
ALREX,1,3579.07
